token_address,from_address,to_address,value,transaction_hash,log_index,block_number
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000057358,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,98,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000035875,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,100,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000034240,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,102,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000043756,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,104,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000090403,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,106,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000024833,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,108,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000000320,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,110,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000025197,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,112,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000020477,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,114,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000023223,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,116,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000082446,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,118,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000038134,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,120,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000083835,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,122,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000094808,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,124,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000062331,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,126,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000001094,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,128,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000075217,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,130,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000038551,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,132,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000051321,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,134,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000068614,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,136,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000017200,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,138,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000092241,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,140,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000071491,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,142,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000029152,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,144,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000085124,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,146,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000063655,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,148,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000003269,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,150,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000021793,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,152,40645024
