transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar
0x8fb92cd826a9131bac59acfbb2e81ee0fc21a4484386d46cd7af5ec8298aa44b,35,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,7937802,505069,,,1,10000000000,,,,
0xf6d67df83dbd47bfd72d34dcc09708d0edbb5cfb2d412887936d5f440ba838e5,36,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,8442871,505069,,,1,10000000000,,,,
0x1ece05af352d3f1d4a984609da7e7407f85b344b9f918fb540465cc99ae54dce,37,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,8947940,505069,,,1,10000000000,,,,
0x4bd322e510b0bf9dd9aa45d31c862975cf5a164e58b247caebd07a632af192d4,38,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,9453009,505069,,,1,10000000000,,,,
0x9c04d3ac2063a4d8f865c00fb368b8a3b73a0f97b9a233ed32f20cd535daefd3,39,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,9958078,505069,,,1,10000000000,,,,
0xfd9cf0b4cb2abae44b5c8823d735f00523192f3c8ac39ddf4649e6ef6286f8f4,40,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,10463147,505069,,,1,10000000000,,,,
0xf8b6ae322ef508fab423515f4aa2602f242c643b239649eb44f2567c4637f975,41,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,10968216,505069,,,1,10000000000,,,,
0xa481101f2b9dacbcfc37b501b874f21d145a07471a1f8fc3ac3609911db0da63,42,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,11473285,505069,,,1,10000000000,,,,
0xcce87c015c85854d28394fc556ca509aebf85dd94ceed992baff120b04a545fc,43,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,11584035,110750,,,0,10000000000,,,,
0xf3ada0d7f66f323fbfd0432ac3ed195a42679d614a5c0d932725e25f68da3685,44,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,11694785,110750,,,0,10000000000,,,,
0xc64711f431673bb9adfd21da3767ec2fdaad56d09ed0377479b5d571e4d5c80d,45,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,12199854,505069,,,1,10000000000,,,,
0xcadf9232d2a149355420fcb998ab77a5c77172ef578ef3f9f2d996908b6c7291,46,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,12246146,46292,,,1,9894280658,,,,
0xed1b5ee1d06062d330f3680eed13d8b88a29e7b544d2b30f1ccaf56b4529b3c0,47,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,12369346,123200,,,1,9894280658,,,,
0x5d4e629ee94348827590f80478c56ca2de438b71d5ccd44b086ba0b5dc944235,48,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,12663081,293735,,,1,9894280658,,,,
0xebb1794dbf528a26d0558d885041d6c02f5a8968f500afb78b2d954bdedc5e28,49,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,12781354,118273,,,1,9894280658,,,,
0xcd60296da998e70376ac82cc691b8d29c61d577580935bd5daa751e8d7f914b7,50,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,12830178,48824,,,1,9894280658,,,,
0xb6af54648ad719f172cc84bf5d683b0d47c7e6666ca84e77a1d05e601f459b49,51,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,13343647,513469,,,1,9894280658,,,,
0x041cab0966506c82fe0e6a4d8351f277e2fef2d422817804ad8b10042f9c842a,52,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,13392471,48824,,,1,9894280658,,,,
0xf59c5b8ec18badc31e0f12757101c472e7ab5bc2adbf9841e4ad31648fdc7277,53,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,13902983,510512,,,1,9894280658,,,,
0x33765bc8ab95030bdba9d32bbf46dc72dcf504f1d796b69071d8ce601d4d2df8,54,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,13951807,48824,,,1,9894280658,,,,
0xf5d9db6405deb590066aec2c9aac7d47d70075e75f327030f54192bfeb862aac,55,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,14467131,515324,,,1,9894280658,,,,
